Chelsea,"40.75762764254582,-74.00555849075317
40.74886631223844,-73.98474454879761
40.7420222437805,-73.98976564407349
40.74332283355683,-73.99288773536682
40.73803090013448,-73.99667501449585
40.74332283355683,-74.00957107543945
40.74858996207507,-74.0084981918335
40.75031306787843,-74.00909900665283
40.75457187366696,-74.00802612304688","5,6,7,8,0,1,2,3,4"
East Village,"40.73493358250772,-73.9903450012207
40.72706363348306,-73.9715051651001
40.718021799448955,-73.9740800857544
40.72387636454214,-73.99309158325195
40.7304783951045,-73.99098873138428","0,1,2"
"Gramercy","40.72706363348306,-73.9715051651001
40.73493358250772,-73.9903450012207
40.73542135862957,-73.99031281471252
40.73512869338561,-73.98959398269653
40.74036395493162,-73.98579597473145
40.74201411501444,-73.98977637290955
40.74627345231002,-73.98655772209167
40.743680491286774,-73.98017406463623
40.73877065807578,-73.98369312286377
40.73483602685421,-73.97373676300049
40.7293401607006,-73.97133350372314","6,7,8,9,10,0"
"Murray Hill","40.7433065763416,-73.97144079208374
40.74610275892481,-73.97830724716187
40.743647977027166,-73.98015260696411
40.74627345231002,-73.98655772209167
40.75333652297646,-73.98141860961914
40.74764711169807,-73.96845817565918","4,5,0"
"TriBeCa","40.726819715233496,-74.01167392730713
40.71932285841479,-74.00135278701782
40.714996739064084,-74.00512933731079
40.71283357396648,-74.00706052780151
40.714736512395255,-74.01156663894653
40.71561477332607,-74.01768207550049
40.71888375385667,-74.01731729507446","5,6,0,1,2"
"Financial District","40.71561477332607,-74.01767134666443
40.71472838029549,-74.01156663894653
40.71281730930104,-74.0070390701294
40.71500487113111,-74.00512933731079
40.714468152577744,-74.00409936904907
40.71408594127328,-74.00357365608215
40.71382571104452,-74.00304794311523
40.71410220562881,-74.00256514549255
40.71319139560073,-74.00105237960815
40.711394135692544,-74.00102019309998
40.71097124395799,-74.00071978569031
40.71041009500999,-74.00113821029663
40.70825491378906,-73.99828433990479
40.70182148633565,-74.0090560913086
40.70055262070329,-74.01403427124023
40.70094304347228,-74.0160083770752
40.70400127599109,-74.01856184005737
40.706148461723764,-74.01978492736816","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,0"
"Chinatown","40.70825491378906,-73.99827361106873
40.71041822763722,-74.00112748146057
40.7109793765167,-74.00070905685425
40.711394135692544,-74.00100946426392
40.71319139560073,-74.0010416507721
40.71409407345154,-74.00254368782043
40.71382571104452,-74.00302648544312
40.71407780909403,-74.00354146957397
40.714468152577744,-74.00408864021301
40.71501300319713,-74.00511860847473
40.71932285841479,-74.00134205818176
40.71728994260598,-73.99844527244568
40.714329906189015,-73.98925065994263
40.71491541833935,-73.98257732391357
40.71283357396648,-73.97549629211426
40.71037756449118,-73.97751331329346
40.70977574702656,-73.98122549057007
40.709108861861516,-73.98861765861511
40.709889604801894,-73.98875713348389
40.70864529140952,-73.99726510047913","10,11,12,13,14,15,16,17,18,19,0"
"SoHo","40.7293401607006,-74.01149153709412
40.72864908031347,-74.00269389152527
40.72565702595667,-73.9967930316925
40.725258617266036,-73.99500131607056
40.72341289690832,-73.99648189544678
40.72223388574859,-73.99697542190552
40.718477172979526,-74.00018334388733
40.726844107098664,-74.01169538497925","7,0,1,2,3,4,5,6"
"Lower East Side","40.72386823355883,-73.99310231208801
40.718013667750476,-73.97405862808228
40.71282544163425,-73.9754855632782
40.71491541833935,-73.9825451374054
40.71433803833745,-73.98921847343445
40.716549945839944,-73.99609565734863
40.71850156790217,-73.9949369430542","0,1,2"
"NoLIta","40.725266748079484,-73.99500131607056
40.724543101792925,-73.9928662776947
40.71970503965402,-73.99452924728394
40.72108737900618,-73.99791955947876
40.72222575456465,-73.99694323539734
40.72339663482747,-73.99647116661072","0,1,2"
"Little Italy","40.71849343626229,-74.00016188621521
40.72107924768216,-73.9979088306427
40.71970503965402,-73.99452924728394
40.718534094451805,-73.99491548538208
40.71655807771725,-73.99608492851257
40.717273679029205,-73.99843454360962","1,2,3,4"
"West Village","40.7433065763416,-74.00957107543945
40.73803902938735,-73.99671792984009
40.73390924101128,-73.99965763092041
40.73124262727918,-74.00156736373901
40.72868973229961,-74.0028977394104
40.72935642132918,-74.0115237236023
40.73888446625967,-74.01077270507812
40.73909582379887,-74.01218891143799
40.741079300289805,-74.0118670463562
40.74099801143199,-74.01000022888184","5,6,7,8,9,0,1,2,3,4"
"Greenwich Village","40.73805528789007,-73.99671792984009
40.73542135862957,-73.99032354354858
40.73491732324207,-73.99036645889282
40.73044587439172,-73.99098873138428
40.724543101792925,-73.99285554885864
40.725258617266036,-73.99497985839844
40.72564889519091,-73.99669647216797
40.728673471508124,-74.00285482406616
40.731193846764306,-74.00158882141113","0,1,2,3,4"
"Flatiron","40.73803090013448,-73.99667501449585
40.7433065763416,-73.99287700653076
40.74205475883487,-73.9897871017456
40.740331439050706,-73.98579597473145
40.73513682299312,-73.98961544036865
40.73542135862957,-73.99032354354858","2,3,4,5"
"Hell's Kitchen","40.757643896260056,-74.00555849075317
40.77327812851369,-73.99399280548096
40.76833797859367,-73.98208379745483
40.752605054511655,-73.99354219436646","0,1,2,3"
"Turtle Bay","40.75101205089848,-73.9760971069336
40.75844032338939,-73.97053956985474
40.75473441810165,-73.96148443222046
40.747630855539846,-73.96843671798706","1,2,3"
"Midtown","40.75101205089848,-73.97607564926147
40.75717253693376,-73.99025917053223
40.76832985304458,-73.98206233978271
40.76222728509676,-73.96785736083984","2,3,0"
"Garment District","40.75258879956551,-73.99355292320251
40.75714002927082,-73.99020552635193
40.75333652297646,-73.98141860961914
40.748858184308865,-73.98471236228943","1,2,3"
"Upper West Side","40.768167341853456,-73.98163318634033
40.77327812851369,-73.99399280548096
40.80619224652984,-73.97101163864136
40.80073476515279,-73.9578366279602","1,2,3,0"
"Central Park","40.76817546742245,-73.98168683052063
40.800499238742454,-73.9581048488617
40.79687689972314,-73.94935011863708
40.76447010488922,-73.97300720214844","1,2,3"
"Morningside Heights","40.80136824583369,-73.95923137664795
40.80620848836414,-73.970947265625
40.817528079916656,-73.96292209625244
40.81918444352375,-73.96120548248291
40.811064618540215,-73.95395278930664
40.80551008589939,-73.95792245864868
40.8030250128768,-73.95798683166504","1,2,3,4,5,6,0"
"Upper East Side","40.76445385284412,-73.97300720214844
40.78811262072539,-73.95569086074829
40.782881118849595,-73.94341707229614
40.78137008042799,-73.94380331039429
40.776040552223705,-73.94197940826416
40.77233562826339,-73.94474744796753
40.7694267931893,-73.9479660987854
40.761089593951404,-73.95530462265015
40.758505337427664,-73.95835161209106","1,2,3,4,5,6,7,8"
"Harlem","40.819200682177936,-73.96120548248291
40.822951704766865,-73.95811557769775
40.82361744851427,-73.9595103263855
40.827904028690725,-73.9565920829773
40.827400694618284,-73.95493984222412
40.83475548671578,-73.95004749298096
40.828277467630556,-73.93446922302246
40.81996389443952,-73.93404006958008
40.81832378916436,-73.93365383148193
40.814361387318684,-73.93369674682617
40.81160055762008,-73.93404006958008
40.809521739444506,-73.93421173095703
40.807475339193125,-73.93324613571167
40.80349604693665,-73.93009185791016
40.801222058520864,-73.92899751663208
40.80666325811094,-73.94230127334595
40.79690126589256,-73.94929647445679
40.80047487389368,-73.95792245864868
40.80081598096255,-73.95787954330444
40.80133575979201,-73.95916700363159
40.80299252764601,-73.95796537399292
40.80546135987174,-73.95790100097656
40.81104837789448,-73.95393133163452","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14"
"Spanish Harlem","40.78812886698372,-73.95564794540405
40.7968850217806,-73.9493179321289
40.80666325811094,-73.94232273101807
40.801222058520864,-73.92906188964844
40.796836289420874,-73.92889022827148
40.79446460468021,-73.93011331558228
40.79168670180761,-73.93468379974365
40.78939606288751,-73.93695831298828
40.78661794795533,-73.93826723098755
40.785155735519204,-73.93970489501953
40.782881118849595,-73.94339561462402","1,2,3,4,5,6,7,8,9,10"
"Washington Heights","40.83475548671578,-73.95000457763672
40.84215816208843,-73.9473009109497
40.843748980010616,-73.94618511199951
40.84709281972337,-73.94678592681885
40.85053387666252,-73.9469575881958
40.85274125306508,-73.9425802230835
40.86504278317438,-73.93412590026855
40.86836932166157,-73.93223762512207
40.869342911070696,-73.93221616744995
40.865448467546265,-73.9274525642395
40.85887607475302,-73.92326831817627
40.85480248668701,-73.92288208007812
40.847206442380674,-73.92822504043579
40.84467423409611,-73.92989873886108
40.84228802620726,-73.93077850341797
40.835810743156166,-73.93446922302246
40.83413855978569,-73.93502712249756
40.828277467630556,-73.93442630767822","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
"Inwood","40.86932668469784,-73.93219470977783
40.87107910999037,-73.93202304840088
40.87656325239317,-73.92826795578003
40.87747182383438,-73.92652988433838
40.87695264168066,-73.92279624938965
40.87508679720457,-73.91992092132568
40.87460004651854,-73.91554355621338
40.8733182525915,-73.91138076782227
40.87135495048746,-73.91022205352783
40.869375363804465,-73.91084432601929
40.864718233887565,-73.9138913154602
40.86299809611425,-73.91539335250854
40.861764762286775,-73.91708850860596
40.85873001417227,-73.91947031021118
40.85480248668701,-73.92283916473389
40.85887607475302,-73.92326831817627
40.86543224021908,-73.92740964889526","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14"
"Sutton Place","40.75845657690492,-73.97053956985474
40.76224353768633,-73.96779298782349
40.75844032338939,-73.95830869674683
40.75473441810165,-73.96144151687622","1,2,3"
"Kips Bay","40.746119015456564,-73.97828578948975
40.74329031912237,-73.9713978767395
40.74039647079659,-73.97219181060791
40.7359741672444,-73.97236347198486
40.734770989672406,-73.97373676300049
40.73873814141607,-73.98369312286377
40.743680491286774,-73.98017406463623","6,0,1,2,3,4"
